Algorithm,MatrixSize,Seed,Path,Length,Experiment number,Time
Branch and Bound,16,42,"[0, 11, 15, 1, 4, 10, 12, 9, 6, 13, 8, 7, 14, 5, 2, 3, 0]",45.0,1,0.0528249999624677
Branch and Bound,16,42,"[0, 11, 15, 1, 4, 10, 12, 9, 6, 13, 8, 7, 14, 5, 2, 3, 0]",45.0,2,0.05318560003070161
Branch and Bound,16,42,"[0, 11, 15, 1, 4, 10, 12, 9, 6, 13, 8, 7, 14, 5, 2, 3, 0]",45.0,3,0.0530424999888055
Branch and Bound,16,42,"[0, 11, 15, 1, 4, 10, 12, 9, 6, 13, 8, 7, 14, 5, 2, 3, 0]",45.0,4,0.05303840001579374
Branch and Bound,17,42,"[0, 5, 1, 3, 4, 7, 13, 14, 2, 16, 8, 6, 10, 12, 11, 9, 15, 0]",67.0,0,5.545384299999569
Branch and Bound,17,42,"[0, 5, 1, 3, 4, 7, 13, 14, 2, 16, 8, 6, 10, 12, 11, 9, 15, 0]",67.0,1,5.526895400020294
Branch and Bound,17,42,"[0, 5, 1, 3, 4, 7, 13, 14, 2, 16, 8, 6, 10, 12, 11, 9, 15, 0]",67.0,2,5.538291600008961
Branch and Bound,17,42,"[0, 5, 1, 3, 4, 7, 13, 14, 2, 16, 8, 6, 10, 12, 11, 9, 15, 0]",67.0,3,5.520553100039251
Branch and Bound,17,42,"[0, 5, 1, 3, 4, 7, 13, 14, 2, 16, 8, 6, 10, 12, 11, 9, 15, 0]",67.0,4,5.536965599982068
Branch and Bound,18,42,"[0, 1, 15, 9, 8, 7, 16, 10, 14, 13, 5, 4, 2, 12, 11, 17, 6, 3, 0]",60.0,0,1.1967449000221677
Branch and Bound,18,42,"[0, 1, 15, 9, 8, 7, 16, 10, 14, 13, 5, 4, 2, 12, 11, 17, 6, 3, 0]",60.0,1,1.2134177000261843
Branch and Bound,18,42,"[0, 1, 15, 9, 8, 7, 16, 10, 14, 13, 5, 4, 2, 12, 11, 17, 6, 3, 0]",60.0,2,1.2004171999869868
Branch and Bound,18,42,"[0, 1, 15, 9, 8, 7, 16, 10, 14, 13, 5, 4, 2, 12, 11, 17, 6, 3, 0]",60.0,3,1.197847899980843
Branch and Bound,18,42,"[0, 1, 15, 9, 8, 7, 16, 10, 14, 13, 5, 4, 2, 12, 11, 17, 6, 3, 0]",60.0,4,1.2096295999945141
Branch and Bound,19,42,"[0, 1, 8, 15, 12, 5, 13, 17, 4, 6, 11, 18, 2, 16, 14, 7, 9, 10, 3, 0]",56.0,0,3.545002300001215
Branch and Bound,19,42,"[0, 1, 8, 15, 12, 5, 13, 17, 4, 6, 11, 18, 2, 16, 14, 7, 9, 10, 3, 0]",56.0,1,3.551276099984534
Branch and Bound,19,42,"[0, 1, 8, 15, 12, 5, 13, 17, 4, 6, 11, 18, 2, 16, 14, 7, 9, 10, 3, 0]",56.0,2,3.5480704000219703
Branch and Bound,19,42,"[0, 1, 8, 15, 12, 5, 13, 17, 4, 6, 11, 18, 2, 16, 14, 7, 9, 10, 3, 0]",56.0,3,3.5468252999708056
Branch and Bound,19,42,"[0, 1, 8, 15, 12, 5, 13, 17, 4, 6, 11, 18, 2, 16, 14, 7, 9, 10, 3, 0]",56.0,4,3.55542200000491
Branch and Bound,20,42,"[0, 19, 2, 8, 10, 16, 12, 13, 3, 5, 11, 6, 4, 1, 7, 9, 15, 18, 14, 17, 0]",60.0,0,5.148413399991114
Branch and Bound,20,42,"[0, 19, 2, 8, 10, 16, 12, 13, 3, 5, 11, 6, 4, 1, 7, 9, 15, 18, 14, 17, 0]",60.0,1,5.148151799978223
Branch and Bound,20,42,"[0, 19, 2, 8, 10, 16, 12, 13, 3, 5, 11, 6, 4, 1, 7, 9, 15, 18, 14, 17, 0]",60.0,2,5.154082000022754
Branch and Bound,20,42,"[0, 19, 2, 8, 10, 16, 12, 13, 3, 5, 11, 6, 4, 1, 7, 9, 15, 18, 14, 17, 0]",60.0,3,5.138987699989229
Branch and Bound,20,42,"[0, 19, 2, 8, 10, 16, 12, 13, 3, 5, 11, 6, 4, 1, 7, 9, 15, 18, 14, 17, 0]",60.0,4,5.158868599974085
Branch and Bound,5,666,"[0, 3, 1, 4, 2, 0]",36.0,0,0.00010340003063902259
Branch and Bound,5,666,"[0, 3, 1, 4, 2, 0]",36.0,1,8.769996929913759e-05
Branch and Bound,5,666,"[0, 3, 1, 4, 2, 0]",36.0,2,8.520000847056508e-05
Branch and Bound,5,666,"[0, 3, 1, 4, 2, 0]",36.0,3,8.279999019578099e-05
Branch and Bound,5,666,"[0, 3, 1, 4, 2, 0]",36.0,4,8.289999095723033e-05
Branch and Bound,10,666,"[0, 8, 9, 4, 2, 3, 1, 5, 7, 6, 0]",48.0,0,0.010534900007769465
Branch and Bound,10,666,"[0, 8, 9, 4, 2, 3, 1, 5, 7, 6, 0]",48.0,1,0.010511500004213303
Branch and Bound,10,666,"[0, 8, 9, 4, 2, 3, 1, 5, 7, 6, 0]",48.0,2,0.010477599978912622
Branch and Bound,10,666,"[0, 8, 9, 4, 2, 3, 1, 5, 7, 6, 0]",48.0,3,0.01060969999525696
Branch and Bound,10,666,"[0, 8, 9, 4, 2, 3, 1, 5, 7, 6, 0]",48.0,4,0.010263499978464097
Branch and Bound,11,666,"[0, 8, 6, 10, 7, 5, 3, 9, 1, 4, 2, 0]",46.0,0,0.005971900012809783
Branch and Bound,11,666,"[0, 8, 6, 10, 7, 5, 3, 9, 1, 4, 2, 0]",46.0,1,0.006300700013525784
Branch and Bound,11,666,"[0, 8, 6, 10, 7, 5, 3, 9, 1, 4, 2, 0]",46.0,2,0.006124100007582456
Branch and Bound,11,666,"[0, 8, 6, 10, 7, 5, 3, 9, 1, 4, 2, 0]",46.0,3,0.005920400028117001
Branch and Bound,11,666,"[0, 8, 6, 10, 7, 5, 3, 9, 1, 4, 2, 0]",46.0,4,0.005955300002824515
Branch and Bound,12,666,"[0, 1, 2, 5, 7, 11, 10, 4, 9, 8, 3, 6, 0]",63.0,0,0.043411599996034056
Branch and Bound,12,666,"[0, 1, 2, 5, 7, 11, 10, 4, 9, 8, 3, 6, 0]",63.0,1,0.04316689999541268
Branch and Bound,12,666,"[0, 1, 2, 5, 7, 11, 10, 4, 9, 8, 3, 6, 0]",63.0,2,0.04367280000587925
Branch and Bound,12,666,"[0, 1, 2, 5, 7, 11, 10, 4, 9, 8, 3, 6, 0]",63.0,3,0.04265690001193434
Branch and Bound,12,666,"[0, 1, 2, 5, 7, 11, 10, 4, 9, 8, 3, 6, 0]",63.0,4,0.042937700054608285
Branch and Bound,13,666,"[0, 1, 9, 4, 6, 7, 3, 2, 5, 10, 8, 12, 11, 0]",57.0,0,0.09822149999672547
Branch and Bound,13,666,"[0, 1, 9, 4, 6, 7, 3, 2, 5, 10, 8, 12, 11, 0]",57.0,1,0.0980991999967955
Branch and Bound,13,666,"[0, 1, 9, 4, 6, 7, 3, 2, 5, 10, 8, 12, 11, 0]",57.0,2,0.09848780004540458
Branch and Bound,13,666,"[0, 1, 9, 4, 6, 7, 3, 2, 5, 10, 8, 12, 11, 0]",57.0,3,0.10978290002094582
Branch and Bound,13,666,"[0, 1, 9, 4, 6, 7, 3, 2, 5, 10, 8, 12, 11, 0]",57.0,4,0.09811530000297353
Branch and Bound,14,666,"[0, 1, 8, 3, 9, 12, 2, 13, 4, 5, 6, 10, 11, 7, 0]",53.0,0,0.03482420003274456
Branch and Bound,14,666,"[0, 1, 8, 3, 9, 12, 2, 13, 4, 5, 6, 10, 11, 7, 0]",53.0,1,0.03456089994870126
Branch and Bound,14,666,"[0, 1, 8, 3, 9, 12, 2, 13, 4, 5, 6, 10, 11, 7, 0]",53.0,2,0.034433199965860695
Branch and Bound,14,666,"[0, 1, 8, 3, 9, 12, 2, 13, 4, 5, 6, 10, 11, 7, 0]",53.0,3,0.0345820999937132
