Algorithm,MatrixSize,Seed,Path,Length,Experiment number,Beam width,Time
Beam Search,30,666,"[0, 21, 13, 7, 11, 9, 17, 1, 10, 19, 26, 27, 8, 28, 29, 2, 4, 25, 22, 12, 6, 16, 23, 15, 14, 5, 24, 18, 20, 3, 0]",88.0,1,4,0.15104740002425388
Beam Search,30,666,"[0, 21, 13, 7, 11, 9, 17, 1, 10, 19, 26, 27, 8, 28, 29, 2, 4, 25, 22, 12, 6, 16, 23, 15, 14, 5, 24, 18, 20, 3, 0]",88.0,2,4,0.15154330001678318
Beam Search,30,666,"[0, 21, 13, 7, 11, 9, 17, 1, 10, 19, 26, 27, 8, 28, 29, 2, 4, 25, 22, 12, 6, 16, 23, 15, 14, 5, 24, 18, 20, 3, 0]",88.0,3,4,0.15171250002458692
Beam Search,30,666,"[0, 21, 13, 7, 11, 9, 17, 1, 10, 19, 26, 27, 8, 28, 29, 2, 4, 25, 22, 12, 6, 16, 23, 15, 14, 5, 24, 18, 20, 3, 0]",88.0,4,4,0.15220839995890856
Beam Search,30,666,"[0, 14, 12, 6, 5, 29, 15, 27, 8, 9, 17, 1, 10, 19, 26, 16, 28, 2, 4, 25, 22, 24, 20, 23, 3, 21, 13, 7, 11, 18, 0]",82.0,0,7,0.26203050004551187
Beam Search,30,666,"[0, 14, 12, 6, 5, 29, 15, 27, 8, 9, 17, 1, 10, 19, 26, 16, 28, 2, 4, 25, 22, 24, 20, 23, 3, 21, 13, 7, 11, 18, 0]",82.0,1,7,0.2599849999533035
Beam Search,30,666,"[0, 14, 12, 6, 5, 29, 15, 27, 8, 9, 17, 1, 10, 19, 26, 16, 28, 2, 4, 25, 22, 24, 20, 23, 3, 21, 13, 7, 11, 18, 0]",82.0,2,7,0.2608375000418164
Beam Search,30,666,"[0, 14, 12, 6, 5, 29, 15, 27, 8, 9, 17, 1, 10, 19, 26, 16, 28, 2, 4, 25, 22, 24, 20, 23, 3, 21, 13, 7, 11, 18, 0]",82.0,3,7,0.2608378999866545
Beam Search,30,666,"[0, 14, 12, 6, 5, 29, 15, 27, 8, 9, 17, 1, 10, 19, 26, 16, 28, 2, 4, 25, 22, 24, 20, 23, 3, 21, 13, 7, 11, 18, 0]",82.0,4,7,0.2610014000092633
Beam Search,30,666,"[0, 29, 15, 27, 8, 5, 24, 20, 14, 12, 6, 26, 16, 23, 21, 13, 7, 11, 18, 9, 17, 1, 28, 2, 4, 25, 22, 10, 19, 3, 0]",74.0,0,10,0.368238199967891
Beam Search,30,666,"[0, 29, 15, 27, 8, 5, 24, 20, 14, 12, 6, 26, 16, 23, 21, 13, 7, 11, 18, 9, 17, 1, 28, 2, 4, 25, 22, 10, 19, 3, 0]",74.0,1,10,0.36874010000610724
Beam Search,30,666,"[0, 29, 15, 27, 8, 5, 24, 20, 14, 12, 6, 26, 16, 23, 21, 13, 7, 11, 18, 9, 17, 1, 28, 2, 4, 25, 22, 10, 19, 3, 0]",74.0,2,10,0.3701236000051722
Beam Search,30,666,"[0, 29, 15, 27, 8, 5, 24, 20, 14, 12, 6, 26, 16, 23, 21, 13, 7, 11, 18, 9, 17, 1, 28, 2, 4, 25, 22, 10, 19, 3, 0]",74.0,3,10,0.3704522000043653
Beam Search,30,666,"[0, 29, 15, 27, 8, 5, 24, 20, 14, 12, 6, 26, 16, 23, 21, 13, 7, 11, 18, 9, 17, 1, 28, 2, 4, 25, 22, 10, 19, 3, 0]",74.0,4,10,0.37123230000725016
Beam Search,30,666,"[0, 29, 15, 27, 8, 5, 24, 20, 14, 12, 6, 26, 16, 23, 21, 13, 7, 11, 18, 9, 17, 1, 28, 2, 4, 25, 22, 10, 19, 3, 0]",74.0,0,13,0.48424429999431595
Beam Search,30,666,"[0, 29, 15, 27, 8, 5, 24, 20, 14, 12, 6, 26, 16, 23, 21, 13, 7, 11, 18, 9, 17, 1, 28, 2, 4, 25, 22, 10, 19, 3, 0]",74.0,1,13,0.47960279998369515
Beam Search,30,666,"[0, 29, 15, 27, 8, 5, 24, 20, 14, 12, 6, 26, 16, 23, 21, 13, 7, 11, 18, 9, 17, 1, 28, 2, 4, 25, 22, 10, 19, 3, 0]",74.0,2,13,0.47902750002685934
Beam Search,30,666,"[0, 29, 15, 27, 8, 5, 24, 20, 14, 12, 6, 26, 16, 23, 21, 13, 7, 11, 18, 9, 17, 1, 28, 2, 4, 25, 22, 10, 19, 3, 0]",74.0,3,13,0.48279310000361875
Beam Search,30,666,"[0, 29, 15, 27, 8, 5, 24, 20, 14, 12, 6, 26, 16, 23, 21, 13, 7, 11, 18, 9, 17, 1, 28, 2, 4, 25, 22, 10, 19, 3, 0]",74.0,4,13,0.47990800003753975
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 17, 18, 10, 12, 8, 14, 16, 13, 6, 19, 28, 11, 7, 5, 2, 20, 29, 1, 24, 22, 15, 9, 23, 27, 0]",121.0,0,1,0.04174129996681586
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 17, 18, 10, 12, 8, 14, 16, 13, 6, 19, 28, 11, 7, 5, 2, 20, 29, 1, 24, 22, 15, 9, 23, 27, 0]",121.0,1,1,0.04216829995857552
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 17, 18, 10, 12, 8, 14, 16, 13, 6, 19, 28, 11, 7, 5, 2, 20, 29, 1, 24, 22, 15, 9, 23, 27, 0]",121.0,2,1,0.042014700011350214
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 17, 18, 10, 12, 8, 14, 16, 13, 6, 19, 28, 11, 7, 5, 2, 20, 29, 1, 24, 22, 15, 9, 23, 27, 0]",121.0,3,1,0.04223299998557195
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 17, 18, 10, 12, 8, 14, 16, 13, 6, 19, 28, 11, 7, 5, 2, 20, 29, 1, 24, 22, 15, 9, 23, 27, 0]",121.0,4,1,0.04206449998309836
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 17, 18, 10, 12, 8, 14, 29, 16, 13, 6, 19, 28, 11, 7, 5, 1, 24, 2, 20, 27, 22, 15, 9, 23, 0]",93.0,0,4,0.15204809996066615
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 17, 18, 10, 12, 8, 14, 29, 16, 13, 6, 19, 28, 11, 7, 5, 1, 24, 2, 20, 27, 22, 15, 9, 23, 0]",93.0,1,4,0.15187770000193268
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 17, 18, 10, 12, 8, 14, 29, 16, 13, 6, 19, 28, 11, 7, 5, 1, 24, 2, 20, 27, 22, 15, 9, 23, 0]",93.0,2,4,0.15077580005163327
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 17, 18, 10, 12, 8, 14, 29, 16, 13, 6, 19, 28, 11, 7, 5, 1, 24, 2, 20, 27, 22, 15, 9, 23, 0]",93.0,3,4,0.1517712000058964
