Algorithm,MatrixSize,Seed,Path,Length,Experiment number,Time
Beam Search,16,42,"[0, 1, 9, 6, 13, 8, 4, 10, 12, 5, 2, 3, 7, 14, 11, 15, 0]",54.0,4,0.029449099965859205
Beam Search,17,42,"[0, 1, 16, 3, 4, 7, 6, 10, 12, 11, 9, 13, 14, 2, 5, 8, 15, 0]",81.0,0,0.0378031000145711
Beam Search,17,42,"[0, 1, 16, 3, 4, 7, 6, 10, 12, 11, 9, 13, 14, 2, 5, 8, 15, 0]",81.0,1,0.03759219998028129
Beam Search,17,42,"[0, 1, 16, 3, 4, 7, 6, 10, 12, 11, 9, 13, 14, 2, 5, 8, 15, 0]",81.0,2,0.037375599960796535
Beam Search,17,42,"[0, 1, 16, 3, 4, 7, 6, 10, 12, 11, 9, 13, 14, 2, 5, 8, 15, 0]",81.0,3,0.037292699969839305
Beam Search,17,42,"[0, 1, 16, 3, 4, 7, 6, 10, 12, 11, 9, 13, 14, 2, 5, 8, 15, 0]",81.0,4,0.03780739998910576
Beam Search,18,42,"[0, 1, 15, 4, 2, 12, 11, 17, 7, 9, 8, 5, 14, 13, 16, 10, 6, 3, 0]",67.0,0,0.04723739996552467
Beam Search,18,42,"[0, 1, 15, 4, 2, 12, 11, 17, 7, 9, 8, 5, 14, 13, 16, 10, 6, 3, 0]",67.0,1,0.04745559999719262
Beam Search,18,42,"[0, 1, 15, 4, 2, 12, 11, 17, 7, 9, 8, 5, 14, 13, 16, 10, 6, 3, 0]",67.0,2,0.04778930003521964
Beam Search,18,42,"[0, 1, 15, 4, 2, 12, 11, 17, 7, 9, 8, 5, 14, 13, 16, 10, 6, 3, 0]",67.0,3,0.04716539999935776
Beam Search,18,42,"[0, 1, 15, 4, 2, 12, 11, 17, 7, 9, 8, 5, 14, 13, 16, 10, 6, 3, 0]",67.0,4,0.04719369998201728
Beam Search,19,42,"[0, 1, 15, 4, 6, 11, 5, 13, 17, 16, 14, 7, 9, 18, 2, 12, 10, 3, 8, 0]",65.0,0,0.05905239999992773
Beam Search,19,42,"[0, 1, 15, 4, 6, 11, 5, 13, 17, 16, 14, 7, 9, 18, 2, 12, 10, 3, 8, 0]",65.0,1,0.05854260001797229
Beam Search,19,42,"[0, 1, 15, 4, 6, 11, 5, 13, 17, 16, 14, 7, 9, 18, 2, 12, 10, 3, 8, 0]",65.0,2,0.05869809997966513
Beam Search,19,42,"[0, 1, 15, 4, 6, 11, 5, 13, 17, 16, 14, 7, 9, 18, 2, 12, 10, 3, 8, 0]",65.0,3,0.058857600030023605
Beam Search,19,42,"[0, 1, 15, 4, 6, 11, 5, 13, 17, 16, 14, 7, 9, 18, 2, 12, 10, 3, 8, 0]",65.0,4,0.058454499987419695
Beam Search,20,42,"[0, 19, 2, 8, 10, 16, 12, 13, 4, 1, 7, 9, 15, 18, 14, 17, 3, 5, 11, 6, 0]",61.0,0,0.07239440002012998
Beam Search,20,42,"[0, 19, 2, 8, 10, 16, 12, 13, 4, 1, 7, 9, 15, 18, 14, 17, 3, 5, 11, 6, 0]",61.0,1,0.07202080002753064
Beam Search,20,42,"[0, 19, 2, 8, 10, 16, 12, 13, 4, 1, 7, 9, 15, 18, 14, 17, 3, 5, 11, 6, 0]",61.0,2,0.07300029997713864
Beam Search,20,42,"[0, 19, 2, 8, 10, 16, 12, 13, 4, 1, 7, 9, 15, 18, 14, 17, 3, 5, 11, 6, 0]",61.0,3,0.07175539998570457
Beam Search,20,42,"[0, 19, 2, 8, 10, 16, 12, 13, 4, 1, 7, 9, 15, 18, 14, 17, 3, 5, 11, 6, 0]",61.0,4,0.0721860000048764
Beam Search,5,666,"[0, 3, 1, 4, 2, 0]",36.0,0,0.0001962999813258648
Beam Search,5,666,"[0, 3, 1, 4, 2, 0]",36.0,1,0.00018969998927786946
Beam Search,5,666,"[0, 3, 1, 4, 2, 0]",36.0,2,0.00018939998699352145
Beam Search,5,666,"[0, 3, 1, 4, 2, 0]",36.0,3,0.0001868000254034996
Beam Search,5,666,"[0, 3, 1, 4, 2, 0]",36.0,4,0.00018799997633323073
Beam Search,10,666,"[0, 1, 5, 7, 6, 8, 9, 4, 2, 3, 0]",51.0,0,0.004300099972169846
Beam Search,10,666,"[0, 1, 5, 7, 6, 8, 9, 4, 2, 3, 0]",51.0,1,0.004290600016247481
Beam Search,10,666,"[0, 1, 5, 7, 6, 8, 9, 4, 2, 3, 0]",51.0,2,0.004295999999158084
Beam Search,10,666,"[0, 1, 5, 7, 6, 8, 9, 4, 2, 3, 0]",51.0,3,0.004275699960999191
Beam Search,10,666,"[0, 1, 5, 7, 6, 8, 9, 4, 2, 3, 0]",51.0,4,0.004443100013304502
Beam Search,11,666,"[0, 8, 6, 10, 7, 5, 3, 9, 1, 4, 2, 0]",46.0,0,0.006406200001947582
Beam Search,11,666,"[0, 8, 6, 10, 7, 5, 3, 9, 1, 4, 2, 0]",46.0,1,0.006372300034854561
Beam Search,11,666,"[0, 8, 6, 10, 7, 5, 3, 9, 1, 4, 2, 0]",46.0,2,0.006397699995432049
